0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,1,7,4,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,7,7,4,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,6,6,6,5
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,2,6,2,5
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,7,9,6,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,1,9,2,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,7,7,8,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,1,7,0,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,7,7,3,7
1,2,3,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,14,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,9,10,11,12,11,10,9,8,0,50.08,1,7,5,7
